Insult,Date,Comment
1,20120618192155Z,you fuck your dad
0,20120528192215Z,i realli do not understand your point it seem that you are mix appl and orang
0,,a major of canadian can and has been wrong befor now and will be again n nunless you are support of the idea that noth is full proof or perfect so you take your chanc and if we should inadvert kill your son or daughter then them the break and we can alway regard you as collater damag like in wartim - and sorri but the chequ in the mail
0,,listen if you dont wanna get marri to a man or a women dont do it what would it bother you if gay peopl got marri stay in your lane do you let them do them and your god is so nice but quick to judg if your not like him thought you wasnt suppos to judg peopl
0,20120619094753Z,c xe c b u ea n xu u ed ng u u b u eddng bi u ec u t xecnh c xf xf n ho xe kh xf ng ? nc xe c ng u b d xe n ng u ed i cu xed u u ea u chi u ee nh u ee c c xf xf n ho xe kh xf ng ? nc xe c n xf ng d xe n gi u eef u u ea t u edf v u n giang c u ea n th u a c xf xf n ho xe kh xf ng ? n nr u ed t cu u ed c u u b u ee c g xec th xec ch xfang ta u xe bi u ebft ! nai c u ng y xeau chu u ed ng ho xe b xecnh nh u b ng u xf i khi ho xe b xecnh ch u ec th u eadt s u ef u u ebfn sau chi u ebfn tranh m xe th xf i nkh xf ng c xf n con u u b u eddng n xe o ch u ecdn kh xe c u xe u u u eebng m u a th xeam n u b xe
0,20120620171226Z,ok but i would hope they would sign him to a one - year contract to start with give him the chanc to be reliabl and product but give themselv the out if all his time off has hurt his play skill or if he fall back into old habit
0,20120503012628Z,yeah and where are you now ?
1,,shut the fuck up you and the rest of your faggot friend should be burn at the stake
1,20120502173553Z,either you are fake or extrem stupid mayb both
1,20120620160512Z,that you are an idiot who understand neither taxat nor women health
0,20120620015140Z,dont wish him injuri but it happen on it own and i doubt he injur he look embarrass to me
0,20120530044519Z,be care jimbo og has a fork with your name on it
0,,or they just do not pay attent
0,,hmmm perhap some who are too pig - face to get laid and therefor have zero chanc of get pregnant from such activ hold someth against women who can ? ? idk stream of consciousne thought after look at her
0,,huh ? her incom was $ her spend was $ my math put that at %
1,20120611090207Z,for some reason u sound retard lol damn where u been negro
1,20120320162532Z,you with the racist screen name n nyou are a pieceofshit
0,,oh ! & cheat as well cup was a cheat fest & you still dare to post that comment shame on you lol
1,20120320075347Z,your such a dickhead
1,20120320203947Z,your a retard go post your head up your #%&*
0,20120612051612Z,make you want to say mike macwhog ?
0,20120611234235Z,
0,20120502215304Z,and you know they have burn hole in all the carpet
0,20120503031721Z,you are a land creatur you would drown
0,,to all those doom - and - gloomer the chicken - littl who claim the sky is fall and that societi is collaps canada has had gay marriag nationwid for year where is the disast ? where is the collaps and the persecut you are shout about ? where is it ? pleas show us some exampl becaus it start to look like your threat and fear and warn are noth but hot air
0,20120612144331Z,craig we have been say from the start that this is a veri entertain show it awaken the horni littl goth in me i met my boyfriend dure the first season and one of the first thing we did was watch ah at my hous i know he like me and all but to this day he is sure i am far creepier and kinkier than he could ever be thank american horror stori sweet clam love you
0,20120529025329Z,strang you are talk about that when there were chelsea fan in here belittl the communiti shield
0,20120612052926Z,but how would you actual get the key out ?
0,20120528193950Z,oh cool some more internet point for your collect !
0,20120529230121Z,even though i think there are better coach out there i am glad del negro is keep his job i never thought he got enough credit those year when he took those averag chicago bull team he coach to the playoff year in a row
0,20120611201838Z,russellpiano nhmmmm how can we spin obama honor vietnam troop as someth negat answer : doe not matter ! look at our follow they will take anyth n n_________________________________________________________________________________________ nobama team : hmmm how can we make the liber messiah look better in light of the revel of his leak classifi inform to the new york time ? i know let have a bogus photo shoot at the viet nam memori that will make obama look like he care about vet (but first we will have to clear all the vet out of the immedi area becaus they cannot be trusted)
0,20120529115214Z,a good articl which for all the good it will do could have been deliv to a brick wall
0,,head up warn anoth sourc of fund for media matter is peter lewi of the progess insur compani you know those auto insur commerci that run everi minut on cabl televis featur the gal who look like a blow - up doll with red lip and a perfect round mouth if you know what i mean nif you have progress auto insur just know that part of your premium is go to fund a progress liber organ hell bent on destroy our countri and our free speech their mission is to bring down hanniti beck dobb lavin limbaugh boortz etc we must not let them win
0,20120620055647Z,lol as if capcom listen watch them fuck this up too i hope i am wrong i love okami
1,20120515132156Z,allinit your hypocrisi is sicken you ignor loser
0,20120620011710Z,fast & furious did not work out like they plan did it ? lololololololol
0,20120530111709Z,mitt is not the best candid for presid but go against the worst candid ever should help him tremend lol n nobama is one and done it could happen no other way
1,20120620161958Z,i cannot believ the stupid peopl on this site that have no idea what is go on you fool you are all use idiot they are hide the truth becaus you fool who protect him would look like the use idiot you are
1,20120609163743Z,fuck behav then you prick !
0,20120619094846Z,the onli other relev fact is that he is destroy america !
0,20120609175446Z,you are a liar
1,20120620075045Z,is that it ? ? your sum total to ani convers is first abus and then call them a troll you are a typic socialist idiot keep up your non exist class warfar it is as pointless as you
0,20120619231647Z,welp then nbw right ?
0,20120620024445Z,good job fella i did not quit read the rule about a signatur piec but i guess that was as good as ani i found some great blog to follow and to share over at g + if i am not comment on your blog it becaus i alway throw my two cent in when i post my share add me on there if you are a googler n again congratul to the winner and i hope we get the chanc to submit someth els this was fuck fun
0,,i say hang is ass in the center of the town to let it be known that this type of behavior get this type of punish the ladi had a kid week ago women are not safe to have sex after child birth for at least week so even if this was consensu it would have been wayyyyy too soon and hurt the ladi i am so glad the the babi is so young and will not rememb this event happen in it hous and i hope the mother recov quick
1,20120619074710Z,faggot
0,20120529201852Z,you right if you are relax then you can give better result or perform and your ident should be from your work
1,20120529130844Z,aimless abe you are a delus weirdo that should be lock up insid and kept away from comput anyon who doubt the lunaci of abe the moron prog frog from nyc pleas read this thread and you will see abe complet come apart from the seam and go off the deep end
0,20120610150536Z,that i do not doubt n n as a blackberri clone n nbut your origin argument was not that android would have exist just that android somehow predat io develop
0,20120530023429Z,okc should work out a deal to get a pg who play more like parker or cp i think nash at the point and move westbrook to sg that team would be unstopp imagin the shot nash would creat for durant then westbrook would be at his natur posit too the guy doe not creat shot or distribut
0,20120619183841Z,maher show goe on and on npalin alakda show get cancel n nis not the free market wonder ?
1,20120320131007Z,even as a troll you are a pathet failur
0,20120529231612Z,grazi mill sabrina ! sei cos xec dolc n nbaci
0,20120530064120Z,yeah well it would still be better than let them sit there for - year on my dime befor stick a needl in their vein i say give them all a noos if they choos to kill themselv so be it
0,20120612003945Z,um n nholi fuck i need a cigarett
1,20120502173058Z,you are a moron truth is beyond your reach
0,20120529022638Z,you seem wist
0,20120529141937Z,damn speedi recoveri paul rain prayer down on you !
